ABRAMS PLANETARIUM,   0165,
AG EXPO EXHIBITORS - STORAGE 1 EAST,   0402,
AG EXPO EXHIBITORS - STORAGE 2,  0402D,
AG EXPO EXHIBITORS - WICK NO. 1,  0402A,
AG. EXPO EXHIBITORS BUILDING (WICK NO. 1),  0402A,
AG. EXPO STORAGE BUILDING NO. 1 - EAST,   0402,
AG. EXPO STORAGE BUILDING NO. 2,  0402D,
AGRICULTURE HALL,   0022,
AKERS -INTERCOLLEGIATE GOLF COMPLEX,  0401K,
AKERS GOLF - RESTROOM,  0401J,
AKERS GOLF - SHELTER NO 2-WEST,  0401G,
AKERS GOLF - SHELTER NO 3-WEST,  0401H,
AKERS GOLF - SHELTER NO 4-EAST,  0401I,
AKERS GOLF CART BLDG WEST,  0401U,
AKERS GOLF CART SHELTER-WEST,  0401A,
AKERS GOLF COURSE - DRIVING RANGE BUILDING (WEST),  0401P,
AKERS GOLF COURSE - DRIVING RANGE ENCLOSURE (STARTER HOUSE NO. 1 EAST),  0401V,
AKERS GOLF COURSE - EQUIPMENT STORAGE WEST,  0401W,
AKERS GOLF COURSE - GOLF CART BUILDING (WEST),  0401U,
AKERS GOLF COURSE - GOLF CART SHELTER BUILDING (WEST),  0401A,
AKERS GOLF COURSE - INTERCOLLEGIATE GOLF COMPLEX,  0401K,
AKERS GOLF COURSE - MAINTENANCE BUILDING (EAST),  0401B,
AKERS GOLF COURSE - MAINTENANCE BUILDING (WEST),  0401C,
AKERS GOLF COURSE - MANAGER'S HOUSE (WEST),  0401E,
AKERS GOLF COURSE - RESTROOM (EAST),  0401J,
AKERS GOLF COURSE - SHELTER NO. 1 (WEST),  0401F,
AKERS GOLF COURSE - SHELTER NO. 2 (WEST),  0401G,
AKERS GOLF COURSE - SHELTER NO. 3 (WEST),  0401H,
AKERS GOLF COURSE - SHELTER NO. 4 (EAST),  0401I,
AKERS GOLF COURSE - SHELTER NO. 5 (EAST),  0401S,
AKERS GOLF COURSE - SNACK BAR (EAST),  0401Q,
AKERS GOLF COURSE - SNACK BAR (WEST),  0401L,
AKERS GOLF COURSE - SOIL STORAGE BUILDING (EAST),  0401M,
AKERS GOLF COURSE - STARTER HOUSE NO. 1 (EAST),  0401T,
AKERS GOLF DRIVING RANGE ENCLOSURE,  0401V,
AKERS GOLF EQUIPMENT STORAGE WEST,  0401W,
AKERS GOLF MAINT BLDG - EAST,  0401B,
AKERS GOLF MAINT BLDG - WEST,  0401C,
AKERS GOLF MANAGERS HOUSE-WEST,  0401E,
AKERS GOLF STARTER  NO 1- EAST,  0401T,
AKERS GOLF- SHELTER NO 1-WEST,  0401F,
AKERS GOLF- SNACK BAR-WEST,  0401L,
AKERS GOLF-DRIVING RANGE-WEST,  0401P,
AKERS GOLF-SHELTER NO 5-EAST,  0401S,
